,team,stat,value
0,Burnley,formation_used,442.0
0,Burnley,total_distance_in_m,116019.6796875
0,Burnley,accurate_fwd_zone_pass,162.0
0,Burnley,interception,13.0
0,Burnley,total_flick_on,3.0
0,Burnley,total_pass,341.0
0,Burnley,accurate_chipped_pass,18.0
0,Burnley,passes_left,64.0
0,Burnley,total_fwd_zone_pass,242.0
0,Burnley,long_pass_own_to_opp_success,36.0
0,Burnley,rightside_pass,85.0
0,Burnley,total_final_third_passes,112.0
0,Burnley,interception_won,13.0
0,Burnley,total_back_zone_pass,121.0
0,Burnley,ball_recovery,62.0
0,Burnley,accurate_back_zone_pass,110.0
0,Burnley,lost_corners,5.0
0,Burnley,total_contest,9.0
0,Burnley,fwd_pass,111.0
0,Burnley,pen_area_entries,36.0
0,Burnley,open_play_pass,326.0
0,Burnley,successful_put_through,9.0
0,Burnley,poss_lost_ctrl,120.0
0,Burnley,final_third_entries,62.0
0,Burnley,total_through_ball,2.0
0,Burnley,aerial_won,20.0
0,Burnley,possession_percentage,39.7
0,Burnley,won_tackle,8.0
0,Burnley,duel_won,44.0
0,Burnley,touches,527.0
0,Burnley,poss_won_mid_3rd,23.0
0,Burnley,backward_pass,60.0
0,Burnley,accurate_pass,264.0
0,Burnley,total_long_balls,70.0
0,Burnley,put_through,13.0
0,Burnley,total_launches,23.0
0,Burnley,total_throws,16.0
0,Burnley,long_pass_own_to_opp,68.0
0,Burnley,accurate_keeper_sweeper,1.0
0,Burnley,total_chipped_pass,39.0
0,Burnley,accurate_throws,15.0
0,Burnley,total_keeper_sweeper,1.0
0,Burnley,poss_lost_all,120.0
0,Burnley,total_tackle,15.0
0,Burnley,won_contest,6.0
0,Burnley,blocked_pass,13.0
0,Burnley,successful_open_play_pass,252.0
0,Burnley,penalty_conceded,1.0
0,Burnley,total_yel_card,5.0
0,Burnley,total_clearance,21.0
0,Burnley,hand_ball,1.0
0,Burnley,effective_clearance,21.0
0,Burnley,poss_won_def_3rd,22.0
0,Burnley,fk_foul_lost,11.0
0,Burnley,total_cross_nocorner,18.0
0,Burnley,leftside_pass,85.0
0,Burnley,aerial_lost,17.0
0,Burnley,touches_in_opp_box,31.0
0,Burnley,att_bx_centre,8.0
0,Burnley,attempts_ibox,12.0
0,Burnley,att_cmiss_left,1.0
0,Burnley,duel_lost,43.0
0,Burnley,accurate_cross_nocorner,4.0
0,Burnley,total_scoring_att,14.0
0,Burnley,att_hd_miss,5.0
0,Burnley,att_miss_left,3.0
0,Burnley,accurate_cross,8.0
0,Burnley,crosses_18yard,10.0
0,Burnley,att_assist_openplay,8.0
0,Burnley,att_hd_total,7.0
0,Burnley,att_openplay,10.0
0,Burnley,total_att_assist,12.0
0,Burnley,shot_off_target,6.0
0,Burnley,att_ibox_miss,5.0
0,Burnley,successful_final_third_passes,62.0
0,Burnley,total_cross,22.0
0,Burnley,offtarget_att_assist,5.0
0,Burnley,attempts_conceded_ibox,12.0
0,Burnley,goal_kicks,9.0
0,Burnley,accurate_long_balls,33.0
0,Burnley,accurate_goal_kicks,6.0
0,Burnley,dispossessed,8.0
0,Burnley,total_layoffs,5.0
0,Burnley,saves,3.0
0,Burnley,passes_right,46.0
0,Burnley,accurate_layoffs,3.0
0,Burnley,accurate_launches,8.0
0,Burnley,att_sv_high_left,2.0
0,Burnley,att_ibox_target,3.0
0,Burnley,saved_ibox,2.0
0,Burnley,ontarget_att_assist,7.0
0,Burnley,att_rf_total,2.0
0,Burnley,total_offside,4.0
0,Burnley,att_rf_target,1.0
0,Burnley,att_miss_right,2.0
0,Burnley,ontarget_scoring_att,5.0
0,Burnley,poss_won_att_3rd,7.0
0,Burnley,effective_head_clearance,10.0
0,Burnley,head_clearance,10.0
0,Burnley,outfielder_block,7.0
0,Burnley,effective_blocked_cross,3.0
0,Burnley,keeper_throws,8.0
0,Burnley,blocked_cross,3.0
0,Burnley,accurate_keeper_throws,8.0
0,Burnley,crosses_18yardplus,7.0
0,Burnley,unsuccessful_touch,13.0
0,Burnley,won_corners,4.0
0,Burnley,accurate_corners_intobox,4.0
0,Burnley,corner_taken,4.0
0,Burnley,total_corners_intobox,4.0
0,Burnley,att_hd_target,1.0
0,Burnley,att_assist_setplay,3.0
0,Burnley,blocked_scoring_att,3.0
0,Burnley,att_ibox_blocked,3.0
0,Burnley,six_yard_block,2.0
0,Burnley,att_post_right,1.0
0,Burnley,attempts_obox,2.0
0,Burnley,hit_woodwork,1.0
0,Burnley,att_obox_post,1.0
0,Burnley,post_scoring_att,1.0
0,Burnley,att_obx_centre,2.0
0,Burnley,att_lf_total,4.0
0,Burnley,big_chance_missed,2.0
0,Burnley,att_lf_target,2.0
0,Burnley,att_sv_low_centre,1.0
0,Burnley,attempts_conceded_obox,5.0
0,Burnley,challenge_lost,5.0
0,Burnley,attempted_tackle_foul,5.0
